,Unnamed: 0,num_page,text,width,height,area,chars,char_size,pos_x,pos_y,aspect,layout,x0,x1,y0,y1,assureur
84,84,3, 3 ,0.02184876,0.01189059,0.0002597946471684,3,8.659821572280033e-05,0.90000002,0.947681335,1.8374832535643697,h,0.88907564,0.9092437,0.94173604,0.94173604,covea-output-1-to-98
92,92,4,-108 ,0.0403361299999999,0.0107015299999999,0.0004316583052788,5,8.633166105577961e-05,0.376470595,0.419143885,3.769192816354309,h,0.35630253,0.39663866,0.41379312,0.41498217,covea-output-1-to-98
102,102,4,253 ,0.0319327799999999,0.0107015299999999,0.0003417296031533,4,8.543240078834966e-05,0.37563026,0.592746735,2.983945286328228,h,0.35966387,0.39159665,0.588585,0.58739597,covea-output-1-to-98
109,109,4,23 ,0.0168067199999999,0.00475626,7.993713006720113e-05,3,2.664571002240037e-05,0.4907563,0.6397146300000001,3.533599929356208,h,0.48235294,0.49915966,0.6373365,0.6373365,covea-output-1-to-98
115,115,4, 4 ,0.02016806,0.01189059,0.0002398101325554,3,7.99367108518004e-05,0.89915967,0.947681335,1.6961361883640749,h,0.88907564,0.9092437,0.94173604,0.94173604,covea-output-1-to-98
139,139,5,5 ,0.0084033599999999,0.0059452999999999,4.9960496207999246e-05,2,2.4980248103999623e-05,0.90504202,0.93995245,1.4134459152608057,h,0.90084034,0.9092437,0.9369798,0.9369798,covea-output-1-to-98
258,258,8,8 ,0.0084033599999999,0.0071343499999999,5.995251141599943e-05,2,2.9976255707999712e-05,0.90504202,0.940546975,1.1778732470372244,h,0.90084034,0.9092437,0.9369798,0.9369798,covea-output-1-to-98
274,274,9,2022 ,0.0352941399999999,0.0071342999999999,0.0002517989830019,5,5.035979660039945e-05,0.77226893,0.51486325,4.947106233267501,h,0.75462186,0.789916,0.5112961,0.5112961,covea-output-1-to-98
288,288,9,9 ,0.0084033599999999,0.0071343499999999,5.995251141599943e-05,2,2.9976255707999712e-05,0.90504202,0.940546975,1.1778732470372244,h,0.90084034,0.9092437,0.9369798,0.9369798,covea-output-1-to-98
319,319,11,11 ,0.0151260599999999,0.0071343999999999,0.0001079153624639,3,3.597178748799978e-05,0.90840337,0.9393579,2.120158667862745,h,0.90084034,0.9159664,0.9357907,0.9357907,covea-output-1-to-98
337,337,12,12 ,0.0168067199999999,0.0071343999999999,0.0001199058631679,3,3.996862105599978e-05,0.9092437,0.9393579,2.355729984301409,h,0.90084034,0.91764706,0.9357907,0.9357907,covea-output-1-to-98
344,344,13,6 ,0.0050420159999999,0.0035672399999999,1.7986081155839844e-05,2,8.993040577919922e-06,0.1201680679999999,0.89357908,1.4134221414875467,h,0.11764706,0.122689076,0.89179546,0.89179546,covea-output-1-to-98
357,357,13,13 ,0.0168067199999999,0.00832345,0.0001398898935839,3,4.662996452799989e-05,0.9092437,0.939952425,2.0192011725906838,h,0.90084034,0.91764706,0.9357907,0.9357907,covea-output-1-to-98
373,373,14,14 ,0.0168067199999999,0.0059452999999999,9.992099241599848e-05,3,3.33069974719995e-05,0.9092437,0.93995245,2.8268918305216117,h,0.90084034,0.91764706,0.9369798,0.9369798,covea-output-1-to-98
390,390,15,2022 ,0.0336134399999999,0.0071343599999999,0.0002398103817983,5,4.796207635967985e-05,0.75966388,0.1296076099999999,4.711486384202661,h,0.74285716,0.7764706,0.12604043,0.12604043,covea-output-1-to-98
391,391,15,778 ,0.0268907999999999,0.0083234199999999,0.0002238234225359,4,5.595585563399997e-05,0.7647059,0.14684899,3.230739287456358,h,0.7512605,0.7781513,0.14268728,0.14268728,covea-output-1-to-98
